,Unnamed: 0,Date,Country,Activity,Hemispheres,Months
104,104,03-Aug-2017,USA,Fishing,Hemisphere-N,aug
105,105,01-Aug-2017,USA,Kayaking / Fishing,Hemisphere-N,aug
106,106,31-Jul-2017,USA,Skimboarding,Hemisphere-N,jul
107,107,29-Jul-2017,USA,Swimming,Hemisphere-N,jul
108,108,29-Jul-2017,USA,,Hemisphere-N,jul
112,112,23-Jul-2017,USA,,Hemisphere-N,jul
114,114,22-Jul-2017,USA,,Hemisphere-N,jul
115,115,20-Jul-2017,USA,Swimming,Hemisphere-N,jul
116,116,20-Jul-2017,USA,Kayaking,Hemisphere-N,jul
117,117,20-Jul-2017,USA,SUP,Hemisphere-N,jul
118,118,14-Jul-2017,USA,Surfing,Hemisphere-N,jul
119,119,14-Jul-2017,AUSTRALIA,Surfing,Hemisphere-S,jul
120,120,11-Jul-2017,USA,Kayaking,Hemisphere-N,jul
121,121,09-Jul-2017,USA,Swimming,Hemisphere-N,jul
123,123,07-Jul-2017,SOUTH AFRICA,Surfing,Hemisphere-S,jul
125,125,29-Jun-2017,USA,Fishing,Hemisphere-N,jun
126,126,21-Jun-2017,USA,Swimming,Hemisphere-N,jun
127,127,19-Jun-2017,USA,Surfing,Hemisphere-N,jun
128,128,18-Jun-2017,USA,Swimming,Hemisphere-N,jun
133,133,11-Jun-2017,AUSTRALIA,Body boarding,Hemisphere-S,jun
134,134,10-Jun-2017,AUSTRALIA,Surfing,Hemisphere-S,jun
135,135,10-Jun-2017,USA,Surfing,Hemisphere-N,jun
137,137,04-Jun-2017,USA,Spearfishing,Hemisphere-N,jun
139,139,30-May-2017,USA,Touching a shark,Hemisphere-N,may
140,140,28-May-2017,USA,Feeding sharks,Hemisphere-N,may
141,141,27-May-2017,AUSTRALIA,Fishing ,Hemisphere-S,may
145,145,03-May-2017,USA,Surfing,Hemisphere-N,may
146,146,29-Apr-2017,USA,Swimming,Hemisphere-N,apr
147,147,29-Apr-2017,SOUTH AFRICA,Surfing,Hemisphere-S,apr
148,148,29-Apr-2017,USA,Surfing,Hemisphere-N,apr
150,150,27-Apr-2017,NEW ZEALAND,Body boarding,Hemisphere-S,apr
151,151,26-Apr-2017,USA,Photo shoot,Hemisphere-N,apr
153,153,20-Apr-2017,USA,Swimming,Hemisphere-N,apr
154,154,17-Apr-2017,USA,,Hemisphere-N,apr
155,155,17-Apr-2017,AUSTRALIA,Surfing,Hemisphere-S,apr
156,156,14-Apr-2017,USA,Surfing,Hemisphere-N,apr
157,157,13-Apr-2017,USA,Surfing,Hemisphere-N,apr
158,158,12-Apr-2017,USA,Surfing,Hemisphere-N,apr
159,159,12-Apr-2017,SOUTH AFRICA,Scuba Diving,Hemisphere-S,apr
160,160,11-Apr-2017,USA,Surfing,Hemisphere-N,apr
161,161,10-Apr-2017,USA,Paddle boarding,Hemisphere-N,apr
162,162,10-Apr-2017,USA,Swimming,Hemisphere-N,apr
163,163,06-Apr-2017,USA,Swimming,Hemisphere-N,apr
164,164,05-Apr-2017,USA,Swimming,Hemisphere-N,apr
165,165,02-Apr-2017,AUSTRALIA,Kakaying,Hemisphere-S,apr
166,166,02-Apr-2017,USA,Swimming,Hemisphere-N,apr
167,167,27-Mar-2017,USA,Surfing,Hemisphere-N,mar
168,168,19-Mar-2017,AUSTRALIA,Body boarding,Hemisphere-S,mar
169,169,18-Mar-2017,USA,Kayaking,Hemisphere-N,mar
172,172,25-Feb-2017,AUSTRALIA,Snorkeling,Hemisphere-S,feb
173,173,24-Feb-2017,AUSTRALIA,Surfing,Hemisphere-S,feb
175,175,17-Feb-2017,AUSTRALIA,Spearfishing,Hemisphere-S,feb
176,176,11-Feb-2017,USA,Swimming,Hemisphere-N,feb
178,178,06-Feb-2017,SOUTH AFRICA,Kayak fishing,Hemisphere-S,feb
179,179,01-Feb-2017,USA,Tagging sharks,Hemisphere-N,feb
182,182,22-Jan-2017,USA,,Hemisphere-N,jan
183,183,21-Jan-2017,AUSTRALIA,Scuba Diving,Hemisphere-S,jan
184,184,13-Jan-2017,AUSTRALIA,Swimming,Hemisphere-S,jan
185,185,13-Jan-2017,USA,,Hemisphere-N,jan
188,188,05-Jan-2017,USA,Wading,Hemisphere-N,jan
189,189,03-Jan-2017,AUSTRALIA,Wading,Hemisphere-S,jan
190,190,27-Dec-2016,USA,Surfing,Hemisphere-N,dec
191,191,24-Dec-2016,AUSTRALIA,Snorkeling,Hemisphere-S,dec
192,192,19-Dec-2016,SOUTH AFRICA,Surf skiing ,Hemisphere-S,dec
193,193,14-Dec-2016,AUSTRALIA,Free diving,Hemisphere-S,dec
195,195,11-Dec-2016,USA,Surfing,Hemisphere-N,dec
196,196,06-Dec-2016,AUSTRALIA,Surf fishing,Hemisphere-S,dec
197,197,01-Dec-2016,AUSTRALIA,Surfing,Hemisphere-S,dec
198,198,28-Nov-2016,AUSTRALIA,Fishing,Hemisphere-S,nov
199,199,14-Nov-2016,USA,Floating,Hemisphere-N,nov
200,200,30-Oct-2016,USA,Surfing,Hemisphere-N,oct
201,201,29-Oct-2016,USA,Surfing,Hemisphere-N,oct
202,202,24-Oct-2016,AUSTRALIA,Surfing,Hemisphere-S,oct
203,203,21-Oct-2016,USA,Surfing,Hemisphere-N,oct
204,204,15-Oct-2016,AUSTRALIA,Surfing,Hemisphere-S,oct
205,205,14-Oct-2016,USA,Snorkeling,Hemisphere-N,oct
207,207,12-Oct-2016,AUSTRALIA,Surfing,Hemisphere-S,oct
208,208,10-Oct-2016,USA,Surfing,Hemisphere-N,oct
209,209,02-Oct-2016,USA,Surfing,Hemisphere-N,oct
210,210,01-Oct-2016,USA,Surfng,Hemisphere-N,oct
211,211,26-Sep-2016,AUSTRALIA,Surfing,Hemisphere-S,sep
212,212,18-Sep-2016,USA,Surfing,Hemisphere-N,sep
213,213,18-Sep-2016,USA,Surfing,Hemisphere-N,sep
214,214,18-Sep-2016,USA,Surfing,Hemisphere-N,sep
215,215,17-Sep-2016,USA,Surfing,Hemisphere-N,sep
216,216,17-Sep-2016,AUSTRALIA,Surfing,Hemisphere-S,sep
217,217,16-Sep-2016,AUSTRALIA,Surfing,Hemisphere-S,sep
218,218,15-Sep-2016,AUSTRALIA,Fishing,Hemisphere-S,sep
219,219,11-Sep-2016,USA,Wading,Hemisphere-N,sep
220,220,07-Sep-2016,USA,Swimming,Hemisphere-N,sep
222,222,05-Sep-2016,USA,Boogie boarding,Hemisphere-N,sep
223,223,05-Sep-2016,AUSTRALIA,Surfing,Hemisphere-S,sep
224,224,04-Sep-2016,USA,Body boarding,Hemisphere-N,sep
225,225,01-Sep-2016,USA,Spearfishing,Hemisphere-N,sep
227,227,29-Aug-2016,USA,Surfing,Hemisphere-N,aug
228,228,29-Aug-2016,USA,Surfing,Hemisphere-N,aug
230,230,25-Aug-2016,USA,Wading,Hemisphere-N,aug
232,232,06-Aug-2016,USA,SUP Foil boarding,Hemisphere-N,aug
233,233,04-Aug-2016,USA,Surfing,Hemisphere-N,aug
236,236,28-Jul-2016,AUSTRALIA,Kayaking,Hemisphere-S,jul
237,237,27-Jul-2016,USA,Lobstering,Hemisphere-N,jul
238,238,26-Jul-2016,AUSTRALIA,Surfing,Hemisphere-S,jul
240,240,23-Jul-2016,AUSTRALIA,Surfing,Hemisphere-S,jul
242,242,20-Jul-2016,AUSTRALIA,Fishing,Hemisphere-S,jul
243,243,17-Jul-2016,USA,Fishing in Alabama Deep Fishing Rodeo,Hemisphere-N,jul
244,244,16-Jul-2016,USA,Surfing,Hemisphere-N,jul
245,245,16-Jul-2016,USA,,Hemisphere-N,jul
246,246,15-Jul-2016,USA,Kite surfing,Hemisphere-N,jul
247,247,15-Jul-2016,USA,Swimming,Hemisphere-N,jul
250,250,08-Jul-2016,USA,Fishing for squid,Hemisphere-N,jul
251,251,07-Jul-2016,USA,Fishing,Hemisphere-N,jul
252,252,07-Jul-2016,USA,Fishing for sharks,Hemisphere-N,jul
253,253,06-Jul-2016,USA,Swimming,Hemisphere-N,jul
254,254,04-Jul-2016,AUSTRALIA,Fishing,Hemisphere-S,jul
255,255,27-Jun-2016,USA,,Hemisphere-N,jun
256,256,25-Jun-2016,USA,Surfing,Hemisphere-N,jun
258,258,23-Jun-2016,SOUTH AFRICA,Spearfishing,Hemisphere-S,jun
259,259,21-Jun-2016,USA,Floating,Hemisphere-N,jun
260,260,21-Jun-2016,USA,Wading,Hemisphere-N,jun
261,261,15-Jun-2016,USA,Surfing,Hemisphere-N,jun
262,262,15-Jun-2016,AUSTRALIA,Spearfishing,Hemisphere-S,jun
263,263,14-Jun-2016,USA,Floating in tube,Hemisphere-N,jun
264,264,11-Jun-2016,USA,Standing,Hemisphere-N,jun
265,265,07-Jun-2016,USA,Surfing,Hemisphere-N,jun
266,266,05-Jun-2016,USA,Swimming,Hemisphere-N,jun
267,267,05-Jun-2016,AUSTRALIA,Diving,Hemisphere-S,jun
269,269,02-Jun-2016,AUSTRALIA,Spearfishing,Hemisphere-S,jun
271,271,31-May-2016,AUSTRALIA,Surfing,Hemisphere-S,may
272,272,29-May-2016,USA,Swimming,Hemisphere-N,may
273,273,29-May-2016,USA,Swimming,Hemisphere-N,may
274,274,22-May-2016,USA,Swimming,Hemisphere-N,may
275,275,21-May-2016,USA,Swimming,Hemisphere-N,may
276,276,21-May-2016,USA,Swimming,Hemisphere-N,may
277,277,18-May-2016,USA,Swimming,Hemisphere-N,may
278,278,15-May-2016,USA,Teasing a shark,Hemisphere-N,may
279,279,03-May-2016,USA,Floating,Hemisphere-N,may
280,280,02-May-2016,NEW ZEALAND,Fishing,Hemisphere-S,may
282,282,23-Apr-2016,USA,Surfing,Hemisphere-N,apr
283,283,22-Apr-2016,SOUTH AFRICA,Surf-skiing,Hemisphere-S,apr
284,284,19-Apr-2016,AUSTRALIA,Swimming,Hemisphere-S,apr
287,287,13-Apr-2016,USA,Spearfishing,Hemisphere-N,apr
290,290,07-Apr-2016,USA,Fishing,Hemisphere-N,apr
291,291,07-Apr-2016,USA,SUP,Hemisphere-N,apr
292,292,31-Mar-2016,USA,Snorkeling,Hemisphere-N,mar
293,293,30-Mar-2016,AUSTRALIA,Surfing,Hemisphere-S,mar
294,294,28-Mar-2016,USA,,Hemisphere-N,mar
295,295,28-Mar-2016,AUSTRALIA,Surfing,Hemisphere-S,mar
297,297,13-Mar-2016,USA,Surfing,Hemisphere-N,mar
298,298,11-Mar-2016,USA,Body surfing,Hemisphere-N,mar
300,300,04-Mar-2016,USA,,Hemisphere-N,mar
307,307,10-Feb-2016,AUSTRALIA,Surfing,Hemisphere-S,feb
308,308,05-Feb-2016,AUSTRALIA,Walking,Hemisphere-S,feb
309,309,04-Feb-2016,AUSTRALIA,Windsurfing,Hemisphere-S,feb
311,311,29-Jan-2016,SOUTH AFRICA,Kayak fishing,Hemisphere-S,jan
312,312,28-Jan-2016,USA,Surfing,Hemisphere-N,jan
313,313,25-Jan-2016,USA,Surfing,Hemisphere-N,jan
314,314,24-Jan-2016,USA,Spearfishing,Hemisphere-N,jan
316,316,23-Jan-2016,USA,Paddle boarding,Hemisphere-N,jan
318,318,05-Jan-2016,AUSTRALIA,Wading,Hemisphere-S,jan
319,319,02-Jan-2016,AUSTRALIA,Spearfishing,Hemisphere-S,jan
320,320,26-Dec-2015,SOUTH AFRICA,Kayak Fishing,Hemisphere-S,dec
322,322,22-Dec-2015,USA,Paddle boarding,Hemisphere-N,dec
323,323,21-Dec-2015,AUSTRALIA,Surfing,Hemisphere-S,dec
326,326,13-Dec-2015,AUSTRALIA,Fishing,Hemisphere-S,dec
328,328,08-Dec-2015,SOUTH AFRICA,Swimming / Wading,Hemisphere-S,dec
330,330,16-Nov-2015,USA,Surfing,Hemisphere-N,nov
331,331,15-Nov-2015,USA,Swimming,Hemisphere-N,nov
332,332,15-Nov-2015,USA,Surfing,Hemisphere-N,nov
333,333,10-Nov-2015,AUSTRALIA,Surfing,Hemisphere-S,nov
334,334,07-Nov-2015,USA,Surfing,Hemisphere-N,nov
335,335,03-Nov-2015,USA,Swimming,Hemisphere-N,nov
336,336,01-Nov-2015,USA,Wading,Hemisphere-N,nov
338,338,30-Oct-2015,AUSTRALIA,Spearfishing,Hemisphere-S,oct
339,339,28-Oct-2015,USA,Body boarding,Hemisphere-N,oct
340,340,25-Oct-2015,SOUTH AFRICA,Surfing,Hemisphere-S,oct
341,341,21-Oct-2015,USA,Surfing,Hemisphere-N,oct
342,342,19-Oct-2015,USA,Surfing,Hemisphere-N,oct
344,344,17-Oct-2015,USA,Surfing,Hemisphere-N,oct
345,345,17-Oct-2015,USA,Swimming,Hemisphere-N,oct
346,346,13-Oct-2015,USA,Kayak Fishing,Hemisphere-N,oct
347,347,09-Oct-2015,USA,Boogie boarding,Hemisphere-N,oct
348,348,09-Oct-2015,USA,Surfing,Hemisphere-N,oct
350,350,07-Oct-2015,AUSTRALIA,Surfing,Hemisphere-S,oct
351,351,05-Oct-2015,USA,Body boarding,Hemisphere-N,oct
352,352,05-Oct-2015,USA,Wading,Hemisphere-N,oct
353,353,04-Oct-2015,USA,Surfing,Hemisphere-N,oct
354,354,29-Sep-2015,USA,Surfing,Hemisphere-N,sep
355,355,26-Sep-2015,AUSTRALIA,Snorkeling,Hemisphere-S,sep
356,356,24-Sep-2015,USA,Kayak fishing,Hemisphere-N,sep
357,357,20-Sep-2015,USA,Surfing,Hemisphere-N,sep
358,358,20-Sep-2015,USA,Spearfishing,Hemisphere-N,sep
359,359,20-Sep-2015,USA,Wading,Hemisphere-N,sep
360,360,20-Sep-2015,USA,Photographing fish,Hemisphere-N,sep
361,361,19-Sep-2015,USA,Kayak Fishing,Hemisphere-N,sep
362,362,18-Sep-2015,USA,Swimming,Hemisphere-N,sep
363,363,17-Sep-2015,USA,Surfing,Hemisphere-N,sep
364,364,08-Sep-2015,AUSTRALIA,Surfing,Hemisphere-S,sep
365,365,06-Sep-2015,USA,Stand-Up Paddleboarding,Hemisphere-N,sep
366,366,05-Sep-2015,USA,Kayak Fishing,Hemisphere-N,sep
367,367,04-Sep-2015,AUSTRALIA,Surf-skiing,Hemisphere-S,sep
368,368,03-Sep-2015,USA,,Hemisphere-N,sep
371,371,29-Aug-2015,USA,Surfing,Hemisphere-N,aug
372,372,29-Aug-2015,USA,Surfing,Hemisphere-N,aug
373,373,22-Aug-2015,USA,,Hemisphere-N,aug
374,374,22-Aug-2015,AUSTRALIA,Surfing,Hemisphere-S,aug
375,375,20-Aug-2015,USA,Surfing,Hemisphere-N,aug
376,376,19-Aug-2015,USA,Walking,Hemisphere-N,aug
377,377,18-Aug-2015,USA,Kayak Fishing,Hemisphere-N,aug
379,379,10-Aug-2015,USA,Spearfishing,Hemisphere-N,aug
380,380,31-Jul-2015,AUSTRALIA,Surfing,Hemisphere-S,jul
382,382,27-Jul-2015,AUSTRALIA,Surfing,Hemisphere-S,jul
383,383,26-Jul-2015,USA,Surfing,Hemisphere-N,jul
384,384,26-Jul-2015,USA,Floating,Hemisphere-N,jul
385,385,25-Jul-2015,AUSTRALIA,Scallop diving on hookah,Hemisphere-S,jul
386,386,23-Jul-2015,USA,Kayak Fishing,Hemisphere-N,jul
387,387,23-Jul-2015,AUSTRALIA,Surfing,Hemisphere-S,jul
389,389,19-Jul-2015,SOUTH AFRICA,Surfing,Hemisphere-S,jul
390,390,10-Jul-2015,USA,Surfing,Hemisphere-N,jul
391,391,08-Jul-2015,USA,Treading water,Hemisphere-N,jul
394,394,04-Jul-2015,USA,,Hemisphere-N,jul
395,395,03-Jul-2015,AUSTRALIA,Surfing,Hemisphere-S,jul
396,396,02-Jul-2015,AUSTRALIA,Body boarding ,Hemisphere-S,jul
397,397,01-Jul-2015,USA,Swimming,Hemisphere-N,jul
398,398,30-Jun-2015,AUSTRALIA,Surfing,Hemisphere-S,jun
399,399,30-Jun-2015,USA,Playing in the water,Hemisphere-N,jun
400,400,27-Jun-2015,USA,Swimming,Hemisphere-N,jun
401,401,27-Jun-2015,SOUTH AFRICA,Body Boarding,Hemisphere-S,jun
402,402,26-Jun-2015,USA,Swimming,Hemisphere-N,jun
403,403,26-Jun-2015,SOUTH AFRICA,Surfing,Hemisphere-S,jun
404,404,26-Jun-2015,USA,Standing,Hemisphere-N,jun
406,406,25-Jun-2015,USA,Body surfing?,Hemisphere-N,jun
407,407,24-Jun-2015,USA,Swimming,Hemisphere-N,jun
408,408,24-Jun-2015,AUSTRALIA,Surfing,Hemisphere-S,jun
409,409,23-Jun-2015,USA,Standing,Hemisphere-N,jun
411,411,17-Jun-2015,USA,Swimming,Hemisphere-N,jun
412,412,14-Jun-2015,USA,Wading,Hemisphere-N,jun
413,413,14-Jun-2015,USA,Wading,Hemisphere-N,jun
414,414,13-Jun-2015,USA,,Hemisphere-N,jun
415,415,11-Jun-2015,USA,Boogie boarding,Hemisphere-N,jun
416,416,07-Jun-2015,USA,Playing,Hemisphere-N,jun
417,417,05-Jun-2015,USA,Attempting to rescue a shark,Hemisphere-N,jun
419,419,29-May-2015,USA,Standing,Hemisphere-N,may
420,420,29-May-2015,USA,Wading,Hemisphere-N,may
422,422,24-May-2015,USA,Swimming,Hemisphere-N,may
423,423,20-May2015,USA,Surfing,Hemisphere-N,may
424,424,15-May-2015,USA,,Hemisphere-N,may
426,426,07-May-2015,USA,Swimming,Hemisphere-N,may
427,427,03-May-2015,AUSTRALIA,Surfing,Hemisphere-S,may
428,428,02-May-2015,SOUTH AFRICA,Diving,Hemisphere-S,may
429,429,29-Apr-2015,USA,Snorkeling,Hemisphere-N,apr
430,430,26-Apr-2015,USA,Wading,Hemisphere-N,apr
431,431,25-Apr-2015,AUSTRALIA,Surfing,Hemisphere-S,apr
432,432,24-Jun-2015,AUSTRALIA,Surf skiing ,Hemisphere-S,jun
433,433,13-Apr-2015,USA,Photographing the shark,Hemisphere-N,apr
435,435,11-Apr-2015,AUSTRALIA,Paddle boarding,Hemisphere-S,apr
436,436,03-Apr-2015,USA,Spearfishing,Hemisphere-N,apr
439,439,26-Mar-2015,SOUTH AFRICA,Kayak Fishing,Hemisphere-S,mar
441,441,18-Mar-2015,USA,Standing / Snorkeling,Hemisphere-N,mar
443,443,11-Mar-2015,AUSTRALIA,Fishing,Hemisphere-S,mar
448,448,09-Feb-2015,AUSTRALIA,Surfing,Hemisphere-S,feb
449,449,08-Feb-2015,AUSTRALIA,Surfing,Hemisphere-S,feb
450,450,05-Feb-2015,AUSTRALIA,Bodysurfing,Hemisphere-S,feb
451,451,30-Jan-2015,AUSTRALIA,Rowing,Hemisphere-S,jan
452,452,27-Jan-2015,USA,Shark fishing,Hemisphere-N,jan
453,453,24-Jan-2015,AUSTRALIA,Surfing,Hemisphere-S,jan
454,454,23-Jan-2015,SOUTH AFRICA,Floating,Hemisphere-S,jan
455,455,19-Jan-2015,USA,Fishing,Hemisphere-N,jan
456,456,19-Jan-2015,AUSTRALIA,Surfing & filming dolphins,Hemisphere-S,jan
457,457,17-Jan-2015,AUSTRALIA,Fishing,Hemisphere-S,jan
458,458,16-Jan-2015,AUSTRALIA,Filming,Hemisphere-S,jan
459,459,08-Jan-2015,USA,Swimming after falling overboard,Hemisphere-N,jan
461,461,03-Jan-2015,SOUTH AFRICA,Surfing,Hemisphere-S,jan
462,462,01-Jan-2015,USA,,Hemisphere-N,jan
463,463,29-Dec-2014,AUSTRALIA,Surfing,Hemisphere-S,dec
464,464,29-Dec-2014,AUSTRALIA,Spearfishing,Hemisphere-S,dec
466,466,28-Dec-2014,SOUTH AFRICA,Swimming,Hemisphere-S,dec
467,467,28-Dec-2014,USA,Surfing,Hemisphere-N,dec
468,468,28-Dec-2014,AUSTRALIA,Fishing,Hemisphere-S,dec
470,470,15-Dec-2014,AUSTRALIA,Spearfishing,Hemisphere-S,dec
472,472,29-Nov-2014,AUSTRALIA,Surfing,Hemisphere-S,nov
474,474,19-Nov-2014,AUSTRALIA,Fishing,Hemisphere-S,nov
476,476,16-Nov-2014,USA,Surfing,Hemisphere-N,nov
477,477,13-Nov-2014,USA,Snorkeling,Hemisphere-N,nov
478,478,10-Nov-2014,AUSTRALIA,Surfing,Hemisphere-S,nov
479,479,08-Nov-2014,USA,Surfing,Hemisphere-N,nov
480,480,31-Oct-2014,USA,Surfing,Hemisphere-N,oct
481,481,29-Oct-2014,AUSTRALIA,Surfing,Hemisphere-S,oct
482,482,22-Oct-2014,USA,Stand-Up Paddleboarding,Hemisphere-N,oct
483,483,20-Oct-2014,USA,Stand-Up Paddleboarding,Hemisphere-N,oct
484,484,19-Oct-2014,USA,Canoeing,Hemisphere-N,oct
485,485,18-Oct-2014,USA,Surfing,Hemisphere-N,oct
486,486,17-Oct-2014,AUSTRALIA,Surfing,Hemisphere-S,oct
487,487,14-Oct-2014,USA,Standing in inner tube,Hemisphere-N,oct
488,488,12-Oct-2014,USA,Body surfing or Boogie boarding,Hemisphere-N,oct
489,489,11-Oct-2014,AUSTRALIA,Kayaking,Hemisphere-S,oct
490,490,05-Oct-2014,USA,Surfing,Hemisphere-N,oct
491,491,07-Oct-2014,USA,Fishing,Hemisphere-N,oct
492,492,05-Oct-2014,USA,Surfing,Hemisphere-N,oct
493,493,03-Oct-2014,USA,Kayaking,Hemisphere-N,oct
494,494,03-Oct-2014,USA,Kayaking ,Hemisphere-N,oct
495,495,02-Oct-2014,USA,Surfing,Hemisphere-N,oct
496,496,02-Oct-2014,AUSTRALIA,Surfing,Hemisphere-S,oct
497,497,21-Sep-2014,USA,Surfing,Hemisphere-N,sep
499,499,13-Sep-2014,USA,Surfing,Hemisphere-N,sep
500,500,09-Sep-2014,AUSTRALIA,Swimming,Hemisphere-S,sep
501,501,06-Sep-2014,USA,Fishing ,Hemisphere-N,sep
502,502,03-Sep-2014,USA,Kayaking ,Hemisphere-N,sep
503,503,02-Sep-2014,USA,Fishing,Hemisphere-N,sep
505,505,31-Aug-2014,USA,Body surfing,Hemisphere-N,aug
506,506,29-Aug-2014,USA,Surfing,Hemisphere-N,aug
507,507,29-Aug-2014,USA,,Hemisphere-N,aug
508,508,28-Aug-2014,USA,Fishing,Hemisphere-N,aug
510,510,27-Aug-2014,USA,Surfing,Hemisphere-N,aug
511,511,27-Aug-2014,USA,Standing,Hemisphere-N,aug
513,513,24-Aug-2014,USA,Kite boarding,Hemisphere-N,aug
514,514,16-Aug-2014,AUSTRALIA,Spearfishing,Hemisphere-S,aug
515,515,12-Aug-2014,USA,Standing,Hemisphere-N,aug
