,Date,Country,Activity
164,05-Apr-2017,USA,Swimming
165,02-Apr-2017,AUSTRALIA,Kakaying
166,02-Apr-2017,USA,Swimming
167,27-Mar-2017,USA,Surfing
168,19-Mar-2017,AUSTRALIA,Body boarding
169,18-Mar-2017,USA,Kayaking
170,11-Mar-2017,PHILIPPINES,Spearfishing
171,Reported 09-Mar-2017,BAHAMAS,Washing hands
172,25-Feb-2017,AUSTRALIA,Snorkeling
173,24-Feb-2017,AUSTRALIA,Surfing
174,21-Feb-2017,REUNION,Body boarding
175,17-Feb-2017,AUSTRALIA,Spearfishing
176,11-Feb-2017,USA,Swimming
177,06-Feb-2017,BRAZIL,Grabbing shark for a selfie
178,06-Feb-2017,SOUTH AFRICA,Kayak fishing
179,01-Feb-2017,USA,Tagging sharks
180,01-Feb-2017,BAHAMAS,Scuba Diving
181,24-Jan-2017,BRAZIL,Swimming
182,22-Jan-2017,USA,
183,21-Jan-2017,AUSTRALIA,Scuba Diving
184,13-Jan-2017,AUSTRALIA,Swimming
185,13-Jan-2017,USA,
186,09-Jan-2017,INDONESIA,Surfing
187,Reported 08-Jan-2017,AUSTRALIA,Spearfishing
188,05-Jan-2017,USA,Wading
189,03-Jan-2017,AUSTRALIA,Wading
190,27-Dec-2016,USA,Surfing
191,24-Dec-2016,AUSTRALIA,Snorkeling
192,19-Dec-2016,SOUTH AFRICA,Surf skiing 
193,14-Dec-2016,AUSTRALIA,Free diving
194,11-Dec-2016,FRENCH POLYNESIA,Fishing
195,11-Dec-2016,USA,Surfing
196,06-Dec-2016,AUSTRALIA,Surf fishing
197,01-Dec-2016,AUSTRALIA,Surfing
198,28-Nov-2016,AUSTRALIA,Fishing
199,14-Nov-2016,USA,Floating
200,30-Oct-2016,USA,Surfing
201,29-Oct-2016,USA,Surfing
202,24-Oct-2016,AUSTRALIA,Surfing
203,21-Oct-2016,USA,Surfing
204,15-Oct-2016,AUSTRALIA,Surfing
205,14-Oct-2016,USA,Snorkeling
206,13-Oct-2016,MEXICO,Cage Diving
207,12-Oct-2016,AUSTRALIA,Surfing
208,10-Oct-2016,USA,Surfing
209,02-Oct-2016,USA,Surfing
210,01-Oct-2016,USA,Surfng
211,26-Sep-2016,AUSTRALIA,Surfing
212,18-Sep-2016,USA,Surfing
213,18-Sep-2016,USA,Surfing
214,18-Sep-2016,USA,Surfing
215,17-Sep-2016,USA,Surfing
216,17-Sep-2016,AUSTRALIA,Surfing
217,16-Sep-2016,AUSTRALIA,Surfing
218,15-Sep-2016,AUSTRALIA,Fishing
219,11-Sep-2016,USA,Wading
220,07-Sep-2016,USA,Swimming
221,06-Sep-2016,NEW CALEDONIA,Kite surfing
222,05-Sep-2016,USA,Boogie boarding
223,05-Sep-2016,AUSTRALIA,Surfing
224,04-Sep-2016,USA,Body boarding
225,01-Sep-2016,USA,Spearfishing
226,Sep-2016,MEXICO,Cage Diving
227,29-Aug-2016,USA,Surfing
228,29-Aug-2016,USA,Surfing
229,27-Aug-2016,REUNION,Surfing
230,25-Aug-2016,USA,Wading
231,07-Aug-2016,BAHAMAS,Snorkeling
232,06-Aug-2016,USA,SUP Foil boarding
233,04-Aug-2016,USA,Surfing
234,29-Jul-2016,SPAIN,Swimming
235,28-Jul-2016,CHINA,Swimming
236,28-Jul-2016,AUSTRALIA,Kayaking
237,27-Jul-2016,USA,Lobstering
238,26-Jul-2016,AUSTRALIA,Surfing
239,24-Jul-2016,JAPAN,Surfing
240,23-Jul-2016,AUSTRALIA,Surfing
241,23-Jul-2016,BAHAMAS,Spearfishing
242,20-Jul-2016,AUSTRALIA,Fishing
243,17-Jul-2016,USA,Fishing in Alabama Deep Fishing Rodeo
244,16-Jul-2016,USA,Surfing
245,16-Jul-2016,USA,
246,15-Jul-2016,USA,Kite surfing
247,15-Jul-2016,USA,Swimming
248,Reported  14-Jul-2016,BAHAMAS,Scuba Diving
249,Reported 08-Jul-2016,SPAIN,Wading
250,08-Jul-2016,USA,Fishing for squid
251,07-Jul-2016,USA,Fishing
252,07-Jul-2016,USA,Fishing for sharks
253,06-Jul-2016,USA,Swimming
254,04-Jul-2016,AUSTRALIA,Fishing
255,27-Jun-2016,USA,
256,25-Jun-2016,USA,Surfing
257,24-Jun-2016,COLUMBIA,Scuba Diving
258,23-Jun-2016,SOUTH AFRICA,Spearfishing
259,21-Jun-2016,USA,Floating
260,21-Jun-2016,USA,Wading
261,15-Jun-2016,USA,Surfing
262,15-Jun-2016,AUSTRALIA,Spearfishing
263,14-Jun-2016,USA,Floating in tube
264,11-Jun-2016,USA,Standing
265,07-Jun-2016,USA,Surfing
266,05-Jun-2016,USA,Swimming
267,05-Jun-2016,AUSTRALIA,Diving
268,04-Jun-2016,EGYPT,Swimming
269,02-Jun-2016,AUSTRALIA,Spearfishing
270,02-Jun-2016,NEW CALEDONIA,Kite surfing
271,31-May-2016,AUSTRALIA,Surfing
272,29-May-2016,USA,Swimming
273,29-May-2016,USA,Swimming
274,22-May-2016,USA,Swimming
275,21-May-2016,USA,Swimming
276,21-May-2016,USA,Swimming
277,18-May-2016,USA,Swimming
278,15-May-2016,USA,Teasing a shark
279,03-May-2016,USA,Floating
280,02-May-2016,NEW ZEALAND,Fishing
281,25-Apr-2016,INDONESIA,Surfing
282,23-Apr-2016,USA,Surfing
283,22-Apr-2016,SOUTH AFRICA,Surf-skiing
284,19-Apr-2016,AUSTRALIA,Swimming
285,18-Apr-2016,FRENCH POLYNESIA,Spearfishing
286,18-Apr-2016,FRENCH POLYNESIA,Spearfishing
287,13-Apr-2016,USA,Spearfishing
288,09-Apr-2016,NEW CALEDONIA,Walking
289,08-Apr-2016,CAPE VERDE,
290,07-Apr-2016,USA,Fishing
291,07-Apr-2016,USA,SUP
292,31-Mar-2016,USA,Snorkeling
293,30-Mar-2016,AUSTRALIA,Surfing
294,28-Mar-2016,USA,
295,28-Mar-2016,AUSTRALIA,Surfing
296,26-Mar-2016,BAHAMAS,
297,13-Mar-2016,USA,Surfing
298,11-Mar-2016,USA,Body surfing
299,10-Mar-2016,Fiji,Diving for beche-de-mer
300,04-Mar-2016,USA,
301,Reported 03-Mar-2016,AUSTRALIA,Fishing
302,02-Mar-2016,BRAZIL,Swimming
303,22-Feb-2016,NEW CALEDONIA,Kite surfing
304,19-Feb-2016,NEW CALEDONIA,Spearfishing
305,12-Feb-2016,DOMINICAN REPUBLIC,Wading
306,Reported 10-Feb-2016,CAYMAN ISLANDS,Feeding stingrays?
307,10-Feb-2016,AUSTRALIA,Surfing
308,05-Feb-2016,AUSTRALIA,Walking
309,04-Feb-2016,AUSTRALIA,Windsurfing
310,02-Feb-2016,BRAZIL,Swimming
311,29-Jan-2016,SOUTH AFRICA,Kayak fishing
312,28-Jan-2016,USA,Surfing
313,25-Jan-2016,USA,Surfing
314,24-Jan-2016,USA,Spearfishing
315,24-Jan-2016,UNITED ARAB EMIRATES,Fishing
316,23-Jan-2016,USA,Paddle boarding
317,Reported 11-Jan-2016,AUSTRALIA,Surfing
318,05-Jan-2016,AUSTRALIA,Wading
319,02-Jan-2016,AUSTRALIA,Spearfishing
320,26-Dec-2015,SOUTH AFRICA,Kayak Fishing
321,25-Dec-2015,SPAIN,Swimming
322,22-Dec-2015,USA,Paddle boarding
323,21-Dec-2015,AUSTRALIA,Surfing
324,21-Dec-2015,BRAZIL,Scuba diving
325,19-Dec-2015,ARUBA,Sea disaster
326,13-Dec-2015,AUSTRALIA,Fishing
327,11-Dec-2015,BAHAMAS,Lobster fishing
328,08-Dec-2015,SOUTH AFRICA,Swimming / Wading
329,20-Nov-2015,ECUADOR,Snorkeling
330,16-Nov-2015,USA,Surfing
331,15-Nov-2015,USA,Swimming
332,15-Nov-2015,USA,Surfing
333,10-Nov-2015,AUSTRALIA,Surfing
334,07-Nov-2015,USA,Surfing
335,03-Nov-2015,USA,Swimming
336,01-Nov-2015,USA,Wading
337,01-Nov-2015,MOZAMBIQUE,Fishing
338,30-Oct-2015,AUSTRALIA,Spearfishing
339,28-Oct-2015,USA,Body boarding
340,25-Oct-2015,SOUTH AFRICA,Surfing
341,21-Oct-2015,USA,Surfing
342,19-Oct-2015,USA,Surfing
343,17-Oct-2015,MOZAMBIQUE,Fishing for shrimp
344,17-Oct-2015,USA,Surfing
345,17-Oct-2015,USA,Swimming
346,13-Oct-2015,USA,Kayak Fishing
347,09-Oct-2015,USA,Boogie boarding
348,09-Oct-2015,USA,Surfing
349,08-Oct-2015,MOZAMBIQUE,Fishing
350,07-Oct-2015,AUSTRALIA,Surfing
351,05-Oct-2015,USA,Body boarding
352,05-Oct-2015,USA,Wading
353,04-Oct-2015,USA,Surfing
354,29-Sep-2015,USA,Surfing
355,26-Sep-2015,AUSTRALIA,Snorkeling
356,24-Sep-2015,USA,Kayak fishing
357,20-Sep-2015,USA,Surfing
358,20-Sep-2015,USA,Spearfishing
359,20-Sep-2015,USA,Wading
360,20-Sep-2015,USA,Photographing fish
361,19-Sep-2015,USA,Kayak Fishing
362,18-Sep-2015,USA,Swimming
363,17-Sep-2015,USA,Surfing
364,08-Sep-2015,AUSTRALIA,Surfing
365,06-Sep-2015,USA,Stand-Up Paddleboarding
366,05-Sep-2015,USA,Kayak Fishing
367,04-Sep-2015,AUSTRALIA,Surf-skiing
368,03-Sep-2015,USA,
369,01-Sep-2015,THAILAND,Wading
370,Sep-2015,FIJI,Spearfishing
371,29-Aug-2015,USA,Surfing
372,29-Aug-2015,USA,Surfing
373,22-Aug-2015,USA,
374,22-Aug-2015,AUSTRALIA,Surfing
375,20-Aug-2015,USA,Surfing
376,19-Aug-2015,USA,Walking
377,18-Aug-2015,USA,Kayak Fishing
378,18-Aug-2015,SPAIN,Swimming
379,10-Aug-2015,USA,Spearfishing
380,31-Jul-2015,AUSTRALIA,Surfing
381,28-Jul-2015,COSTA RICA,Surfing
382,27-Jul-2015,AUSTRALIA,Surfing
383,26-Jul-2015,USA,Surfing
384,26-Jul-2015,USA,Floating
385,25-Jul-2015,AUSTRALIA,Scallop diving on hookah
386,23-Jul-2015,USA,Kayak Fishing
387,23-Jul-2015,AUSTRALIA,Surfing
388,22-Jul-2015,REUNION,Surfing
389,19-Jul-2015,SOUTH AFRICA,Surfing
390,10-Jul-2015,USA,Surfing
391,08-Jul-2015,USA,Treading water
392,06-Jul-2015,FRENCH POLYNESIA,Swimming
393,04-Jul-2015,BAHAMAS,Spearfishing
394,04-Jul-2015,USA,
395,03-Jul-2015,AUSTRALIA,Surfing
396,02-Jul-2015,AUSTRALIA,Body boarding 
397,01-Jul-2015,USA,Swimming
398,30-Jun-2015,AUSTRALIA,Surfing
399,30-Jun-2015,USA,Playing in the water
400,27-Jun-2015,USA,Swimming
401,27-Jun-2015,SOUTH AFRICA,Body Boarding
402,26-Jun-2015,USA,Swimming
403,26-Jun-2015,SOUTH AFRICA,Surfing
404,26-Jun-2015,USA,Standing
405,Reported 25-Jun-2015,AUSTRALIA,Swimming
406,25-Jun-2015,USA,Body surfing?
407,24-Jun-2015,USA,Swimming
408,24-Jun-2015,AUSTRALIA,Surfing
409,23-Jun-2015,USA,Standing
410,19-Jun-2015,PUERTO RICO,Spearfishing
411,17-Jun-2015,USA,Swimming
412,14-Jun-2015,USA,Wading
413,14-Jun-2015,USA,Wading
414,13-Jun-2015,USA,
415,11-Jun-2015,USA,Boogie boarding
416,07-Jun-2015,USA,Playing
417,05-Jun-2015,USA,Attempting to rescue a shark
418,01-Jun-2015,REUNION,Surfing
419,29-May-2015,USA,Standing
420,29-May-2015,USA,Wading
421,25-May-2015,FRENCH POLYNESIA,Spearfishing
422,24-May-2015,USA,Swimming
423,20-May2015,USA,Surfing
424,15-May-2015,USA,
425,09-May-2015,NEW CALEDONIA,Snorkeling
426,07-May-2015,USA,Swimming
427,03-May-2015,AUSTRALIA,Surfing
428,02-May-2015,SOUTH AFRICA,Diving
429,29-Apr-2015,USA,Snorkeling
430,26-Apr-2015,USA,Wading
431,25-Apr-2015,AUSTRALIA,Surfing
432,24-Jun-2015,AUSTRALIA,Surf skiing 
433,13-Apr-2015,USA,Photographing the shark
434,12-Apr-2015,REUNION,Surfing
435,11-Apr-2015,AUSTRALIA,Paddle boarding
436,03-Apr-2015,USA,Spearfishing
437,29-Mar-2015,ITALY,Diving
438,31-Mar-2015,BRAZIL,Surfing
439,26-Mar-2015,SOUTH AFRICA,Kayak Fishing
440,21-Mar-2015,EGYPT,Swimming
441,18-Mar-2015,USA,Standing / Snorkeling
442,16-Mar-2015,FRENCH POLYNESIA,Hand feeding sharks
443,11-Mar-2015,AUSTRALIA,Fishing
444,10-Mar-2015,MEXICO,Fishing
445,07-Mar-2015,FRENCH POLYNESIA,Sitting in the water
446,15-Feb-2015,ATLANTIC OCEAN,Transatlantic Rowing
447,14-Feb-2015,REUNION,Swimming
448,09-Feb-2015,AUSTRALIA,Surfing
449,08-Feb-2015,AUSTRALIA,Surfing
450,05-Feb-2015,AUSTRALIA,Bodysurfing
451,30-Jan-2015,AUSTRALIA,Rowing
452,27-Jan-2015,USA,Shark fishing
453,24-Jan-2015,AUSTRALIA,Surfing
454,23-Jan-2015,SOUTH AFRICA,Floating
455,19-Jan-2015,USA,Fishing
456,19-Jan-2015,AUSTRALIA,Surfing & filming dolphins
457,17-Jan-2015,AUSTRALIA,Fishing
458,16-Jan-2015,AUSTRALIA,Filming
459,08-Jan-2015,USA,Swimming after falling overboard
460,06-Jan-2015,BAHAMAS,Snorkeling
461,03-Jan-2015,SOUTH AFRICA,Surfing
462,01-Jan-2015,USA,
463,29-Dec-2014,AUSTRALIA,Surfing
464,29-Dec-2014,AUSTRALIA,Spearfishing
465,28-Dec-2014,GREECE,
466,28-Dec-2014,SOUTH AFRICA,Swimming
467,28-Dec-2014,USA,Surfing
468,28-Dec-2014,AUSTRALIA,Fishing
469,Reported 23-Dec-2014,JAPAN,Diving / Filming
470,15-Dec-2014,AUSTRALIA,Spearfishing
471,Reported 03-Dec-2014,SPAIN,Fishing for blue sharks
472,29-Nov-2014,AUSTRALIA,Surfing
473,20-Nov-2014,MAURITIUS,Fishing
474,19-Nov-2014,AUSTRALIA,Fishing
475,Reported 17-Nov-2014,USA,
476,16-Nov-2014,USA,Surfing
477,13-Nov-2014,USA,Snorkeling
478,10-Nov-2014,AUSTRALIA,Surfing
479,08-Nov-2014,USA,Surfing
480,31-Oct-2014,USA,Surfing
481,29-Oct-2014,AUSTRALIA,Surfing
482,22-Oct-2014,USA,Stand-Up Paddleboarding
483,20-Oct-2014,USA,Stand-Up Paddleboarding
484,19-Oct-2014,USA,Canoeing
485,18-Oct-2014,USA,Surfing
486,17-Oct-2014,AUSTRALIA,Surfing
487,14-Oct-2014,USA,Standing in inner tube
488,12-Oct-2014,USA,Body surfing or Boogie boarding
489,11-Oct-2014,AUSTRALIA,Kayaking
490,05-Oct-2014,USA,Surfing
491,07-Oct-2014,USA,Fishing
492,05-Oct-2014,USA,Surfing
493,03-Oct-2014,USA,Kayaking
494,03-Oct-2014,USA,Kayaking 
495,02-Oct-2014,USA,Surfing
496,02-Oct-2014,AUSTRALIA,Surfing
497,21-Sep-2014,USA,Surfing
498,Reported 12-Sep-2014,FRENCH POLYNESIA,Feeding fish
499,13-Sep-2014,USA,Surfing
500,09-Sep-2014,AUSTRALIA,Swimming
501,06-Sep-2014,USA,Fishing 
502,03-Sep-2014,USA,Kayaking 
503,02-Sep-2014,USA,Fishing
504,Sep-2014,SPAIN,Playing with an air mattress
505,31-Aug-2014,USA,Body surfing
506,29-Aug-2014,USA,Surfing
507,29-Aug-2014,USA,
508,28-Aug-2014,USA,Fishing
509,27-Aug-2014,SPAIN,Swimming
510,27-Aug-2014,USA,Surfing
511,27-Aug-2014,USA,Standing
512,Reported 25-Aug-2014,USA,Fishing for sharks
513,24-Aug-2014,USA,Kite boarding
514,16-Aug-2014,AUSTRALIA,Spearfishing
515,12-Aug-2014,USA,Standing
516,10-Aug-2014,USA,
517,09-Aug-2014,BAHAMAS,Spearfishing
518,09-Aug-2014,USA,Swimming
519,08-Aug-2014,USA,Swimming
520,06-Aug-2014,USA,Boogie boarding
521,05-Aug-2014,USA,Swimming
522,02-Aug-2014,USA,Surfing
523,02-Aug-2014,USA,Boogie boarding
524,01-Aug-2014,SOUTH AFRICA,Surfing
525,Aug-2014,,Sea disaster
526,27-Jul-2014,USA,Swimming
527,22-Jul-2014,REUNION,Surfing
528,21-Jul-2014,USA,Standing
529,20-Jul-2014,SPAIN,Wading
530,16-Jul-2014,USA,Swimming
531,14-Jul-2014,USA,Swimming
532,13-Jul-2014,BAHAMAS,Shark diving
533,12-Jul-2014,USA,Body surfing
534,9-Jul-2014,USA,Surfing
535,5-Jul-2014,USA,Swimming
536,5-Jul-2014,USA,Surfing
537,3-Jul-2014,USA,Body surfing
538,Reported 27-Jun-2014,ST. MARTIN,Transatlantic Rowing
539,25-Jun-2014,BAHAMAS,Spearfishing
540,18-Jun-2014,AUSTRALIA,Surfing
541,18-Jun-2014,AUSTRALIA,Body boarding
542,Reported 17-Jun-2014,AUSTRALIA,Petting a shark
543,09-Jun-2014,BRAZIL,Fishing
544,09-Jun-2014,USA,Standing
545,09-Jun-2014,AUSTRALIA,Body boarding
546,08-Jun-2014,JAPAN,Surfing
547,07-Jun-2014,USA,Kneeling in the water
548,01-Jun-2014,USA,Swimming
549,01-Jun-2014,AUSTRALIA,Surfing
550,01-Jun-2014,USA,Tagging sharks
551,24-May-2014,AUSTRALIA,Fell into the water
552,23-May-2014,FRANCE,Scuba diving
553,22-May-2014,AUSTRALIA,Teasing a shark
554,15-May-2014,USA,Body boarding
555,14-May-2014,AUSTRALIA,Surfing
556,13-May2014,USA,Wading
557,11-May-2014,USA,Surfing
558,Reported 10-May-2014,USA,Diving
559,06-May-2014,USA,Swimming
560,04-May-2014,SOUTH AFRICA,Diving
561,01-May-2014,USA,Surfing
562,24-Apr-2014,AUSTRALIA,Spearfishing
563,22-Apr-2014,USA,Swimming
564,15-Apr-2014,USA,Wading
565,Reported 12-Apr-2014,SOUTH AFRICA,Shark watching
566,12-Apr-2014,SOUTH AFRICA,Fishing
567,04-Apr-2014,USA,Surfing
568,04-Apr-2014,USA,Surfing
569,03-Apr-2014,AUSTRALIA,Swimming
570,29-Mar-2014,AUSTRALIA,Diving for lobsters
571,22-Mar-2014,SOUTH AFRICA,Swimming
572,22-Mar-2014,USA,Kite Surfing
573,21-Mar-2014,USA,Surfing
574,18-Mar-2014,NEW CALEDONIA,Kite Surfing
575,18-Mar-2014,AUSTRALIA,Surfing
576,18-Mar-2014,AUSTRALIA,
577,12-Mar-2014,AUSTRALIA,Swimming
578,13-Mar-2014,CAYMAN ISLANDS,Scuba diving / culling lionfish
579,02-Mar-2014,USA,Surfing
580,20-Feb-2014,FRENCH POLYNESIA,Kitesurfing
581,Reported 17-Feb-2014,PAPUA NEW GUINEA,Sailing
582,08-Feb-2014,AUSTRALIA,Spearfishing / Free diving
583,07-Feb-2014,TRINIDAD & TOBAGO,Fishing
584,07-Feb-2014,NEW ZEALAND,Surfing
585,26-Jan-2014,AUSTRALIA,Fishing
586,25-Jan-2014,NEW ZEALAND,Spearfishing
587,04-Jan-2014,JAPAN,Sea disaster
588,2014,USA,Free diving / Photographing pilot whales
589,2014,NEW ZEALAND,Filming a documentary
590,25-Dec-2013,NEW CALEDONIA,Snorkeling
591,16-Dec-2013,SOUTH AFRICA,Surfing
592,13-Dec-2013,KIRIBATI,Attempting to remove fishing net from submerged object
593,11-Dec-2013,USA,Boogie boarding
594,10-Dec-2013,USA,Surfing
595,05-Dec-2013,AUSTRALIA,Surfing
596,02-Dec-2013,USA,Kayaking / Fishing
597,30-Nov-2013,AUSTRALIA,Body boarding
598,29-Nov2013,USA,Snorkeling
599,23-Nov-2013,AUSTRALIA,Surfing
600,22-Nov-2013,USA,Surfing
601,12-Nov-2013,AUSTRALIA,Surfing
602,10-Nov-2013,BAHAMAS,Shark fishing
603,07-Nov-2013,USA,Body boarding
604,07-Nov-2013,USA,Surfing
605,31-Oct-2013,USA,Kiteboarding
606,28-Oct-2013,AUSTRALIA,Snorkeling
607,26-Oct-2013,REUNION,Body boarding
608,26-Oct-2013,AUSTRALIA,Diving for crayfish
